x,[Ca]_e = 1mM,[Ca]_e = 4mM
-116.79,-0.121859,-0.085861
-116.593,-0.121591,-0.085882
-113.521,-0.117635,-0.085926
-112.758,-0.11687,-0.08574
-110.641,-0.117548,-0.084802
-109.109,-0.121344,-0.084664
-107.183,-0.126136,-0.085595
-105.076,-0.128592,-0.085508
-102.958,-0.128906,-0.081968
-101.237,-0.128269,-0.078631
-98.925,-0.128785,-0.076887
-97.397,-0.131392,-0.076584
-95.276,-0.133504,-0.07629
-93.94,-0.130169,-0.077445
-92.205,-0.125684,-0.081115
-90.483,-0.128599,-0.083136
-88.747,-0.133307,-0.07973
-87.027,-0.135222,-0.074339
-84.714,-0.133185,-0.069897
-82.995,-0.128257,-0.068422
-81.259,-0.125354,-0.067793
-78.771,-0.129004,-0.065397
-77.418,-0.129102,-0.062062
-74.74,-0.116254,-0.053686
-73.964,-0.112578,-0.051752
-71.477,-0.109326,-0.045861
-70.123,-0.110531,-0.04024
-68.598,-0.112385,-0.03515
-66.283,-0.111381,-0.033823
-64.95,-0.106418,-0.033108
-62.636,-0.097749,-0.028314
-61.11,-0.098023,-0.023334
-58.987,-0.101502,-0.015966
-57.847,-0.101412,-0.013577
-55.531,-0.095603,-0.011888
-54.583,-0.09169,-0.009494
-52.401,-0.084403,0.005421
-52.076,-0.083909,0.005973
-48.249,-0.083962,0.006995
-48.044,-0.083787,0.007549
-45.755,-0.077335,0.02349
-44.781,-0.073064,0.027077
-42.491,-0.066581,0.031315
-41.709,-0.066211,0.033334
-38.653,-0.067391,0.044952
-37.484,-0.066083,0.050355
-35.198,-0.052281,0.059544
-34.99,-0.051521,0.060152
-31.743,-0.049265,0.069307
-31.15,-0.048507,0.072786
-29.249,-0.041339,0.086767
-27.888,-0.033921,0.09271
-25.41,-0.025253,0.098473
-24.624,-0.024164,0.099182
-22.146,-0.022922,0.102435
-21.936,-0.022152,0.103319
-19.652,-0.008403,0.119895
-19.274,-0.007342,0.122567
-17.158,-0.005782,0.13156
-14.666,-0.004185,0.13793
-13.703,-0.000486,0.141323
-11.763,0.010028,0.152869
-11.208,0.010891,0.155885
-8.137,0.01085,0.166602
-7.923,0.011109,0.167529
-5.259,0.022403,0.182142
-4.66,0.025695,0.185099
-1.997,0.037107,0.197694
-1.398,0.039316,0.201211
0.21,0.045113,0.210075
0.521,0.046134,0.210367
1.842,0.050365,0.210366
3.976,0.057829,0.222917
4.528,0.060023,0.2259
7.239,0.072414,0.235102
7.791,0.075131,0.236623
9.734,0.083114,0.243664
10.478,0.085459,0.247328
13.356,0.094108,0.265766
13.573,0.09482,0.267497
15.849,0.104154,0.285158
16.643,0.108434,0.28923
18.92,0.121855,0.299738
19.713,0.125912,0.304827
21.414,0.132746,0.318164
22.784,0.13856,0.327535
24.1,0.146976,0.33563
25.277,0.156986,0.342973
26.785,0.170176,0.354062
27.771,0.176378,0.363419
29.087,0.181832,0.374414
31.034,0.189998,0.384832
31.965,0.196693,0.39092
33.527,0.20939,0.411288
33.69,0.210394,0.413186
36.183,0.222538,0.432578
36.597,0.224936,0.435936
38.485,0.240565,0.453896
39.091,0.245294,0.459677
40.786,0.255111,0.474248
42.161,0.262772,0.484715
43.088,0.269605,0.492668
44.462,0.282158,0.50813
45.005,0.28696,0.513974
46.956,0.302515,0.530285
47.499,0.306483,0.534332
49.45,0.319976,0.549629
