x,[Na]_e = 17.5mM,[Na]_e = 35mM,[Na]_e = 70mM,[Na]_e = 140mM
-113.157,-0.02648,-0.10897,-0.3612,-0.6402
-113.152,-0.02648,-0.10896,-0.36119,-0.64018
-113.137,-0.02645,-0.10893,-0.36116,-0.64014
-108.918,-0.02169,-0.10212,-0.35177,-0.62484
-108.443,-0.02175,-0.10177,-0.35043,-0.62284
-108.428,-0.02176,-0.10176,-0.35039,-0.62278
-108.177,-0.02184,-0.10165,-0.34964,-0.62172
-104.444,-0.02287,-0.10186,-0.33611,-0.60706
-104.425,-0.02286,-0.10185,-0.33604,-0.60699
-104.204,-0.02267,-0.10176,-0.3352,-0.60626
-104.174,-0.02264,-0.10175,-0.33509,-0.60617
-100.423,-0.01397,-0.09589,-0.32288,-0.59506
-100.205,-0.0133,-0.09534,-0.3223,-0.59432
-100.171,-0.01319,-0.09525,-0.32221,-0.5942
-99.494,-0.01114,-0.09338,-0.32055,-0.59166
-96.639,-0.00604,-0.0849,-0.31595,-0.57985
-96.202,-0.00611,-0.08392,-0.3157,-0.57827
-96.184,-0.00612,-0.08388,-0.31569,-0.57821
-94.785,-0.0079,-0.08261,-0.31559,-0.57365
-92.416,-0.01342,-0.08928,-0.31209,-0.56682
-91.93,-0.01462,-0.09075,-0.30944,-0.56549
-91.492,-0.01566,-0.09168,-0.30636,-0.5643
-91.016,-0.01672,-0.09216,-0.30256,-0.563
-89.12,-0.01989,-0.08977,-0.28937,-0.5576
-87.221,-0.02069,-0.08502,-0.28329,-0.55113
-86.781,-0.02043,-0.08399,-0.28229,-0.54936
-86.071,-0.01962,-0.08258,-0.28073,-0.54624
-84.411,-0.01664,-0.08077,-0.27621,-0.53776
-83.219,-0.01453,-0.08026,-0.27111,-0.5308
-82.072,-0.01324,-0.07979,-0.26475,-0.52372
-81.126,-0.01294,-0.07898,-0.25896,-0.518
-80.409,-0.01304,-0.0779,-0.25468,-0.51398
-79.452,-0.01343,-0.07587,-0.24981,-0.50928
-76.877,-0.01443,-0.06882,-0.24153,-0.50039
-76.655,-0.01442,-0.06822,-0.24101,-0.49978
-76.652,-0.01442,-0.06821,-0.24101,-0.49977
-75.214,-0.01377,-0.06473,-0.23792,-0.49612
-72.168,-0.01116,-0.059,-0.23075,-0.48775
-71.942,-0.01103,-0.05863,-0.23009,-0.48695
-71.474,-0.01082,-0.0579,-0.22861,-0.48515
-70.975,-0.01071,-0.05715,-0.22689,-0.48295
-68.165,-0.0111,-0.05372,-0.2152,-0.46639
-67.444,-0.01117,-0.05311,-0.21206,-0.46262
-66.762,-0.01106,-0.05264,-0.20917,-0.45969
-66.293,-0.01081,-0.05239,-0.20726,-0.45792
-64.163,-0.00727,-0.05167,-0.19965,-0.45067
-63.206,-0.00606,-0.05132,-0.19694,-0.44707
-62.996,-0.00602,-0.05122,-0.19638,-0.44619
-61.581,-0.00726,-0.05024,-0.19269,-0.43955
-59.924,-0.00953,-0.04811,-0.18769,-0.43181
-59.203,-0.01028,-0.04697,-0.18498,-0.42913
-58.522,-0.01078,-0.04586,-0.18214,-0.42718
-56.636,-0.01112,-0.04305,-0.17377,-0.42295
-55.686,-0.01086,-0.04201,-0.16975,-0.42026
-55.201,-0.01062,-0.04158,-0.16783,-0.41836
-52.87,-0.00838,-0.04008,-0.16012,-0.40385
-51.69,-0.00524,-0.03945,-0.15721,-0.39694
-51.669,-0.00516,-0.03944,-0.15717,-0.39684
-50.751,-0.00239,-0.03888,-0.1554,-0.39302
-50.742,-0.00238,-0.03888,-0.15539,-0.39299
-47.216,-0.00025,-0.03585,-0.15055,-0.38255
-47.196,-0.00024,-0.03583,-0.15051,-0.38248
-46.276,1e-05,-0.03483,-0.14851,-0.3792
-45.796,0.00014,-0.03433,-0.14701,-0.37727
-43.193,0.0004,-0.03233,-0.13271,-0.36454
-42.265,4e-05,-0.03221,-0.12907,-0.35943
-42.035,-0.00011,-0.03225,-0.12844,-0.35815
-41.095,-0.00117,-0.03273,-0.12662,-0.35294
-39.662,-0.0045,-0.03406,-0.12499,-0.3454
-37.974,-0.00803,-0.03556,-0.12341,-0.33753
-37.089,-0.00558,-0.03582,-0.12227,-0.33343
-36.849,-0.00458,-0.03579,-0.12188,-0.33227
-36.13,-0.00221,-0.03545,-0.1204,-0.32866
-35.59,-0.0016,-0.03498,-0.11901,-0.32577
-32.375,-0.00793,-0.0302,-0.10991,-0.30831
-32.293,-0.00802,-0.03007,-0.10977,-0.30792
-32.144,-0.0081,-0.02983,-0.10952,-0.30721
-32.128,-0.0081,-0.0298,-0.10949,-0.30713
-30.203,-0.00368,-0.02704,-0.10763,-0.29897
-27.89,-0.00461,-0.02444,-0.10578,-0.28919
-27.43,-0.00483,-0.02403,-0.10512,-0.28691
-27.199,-0.00489,-0.02384,-0.10472,-0.28571
-26.611,-0.00471,-0.02339,-0.10352,-0.28254
-24.139,0.00082,-0.02167,-0.09641,-0.26892
-23.888,0.00078,-0.02145,-0.0956,-0.26766
-22.725,-0.00068,-0.02024,-0.09197,-0.26237
-22.721,-0.00068,-0.02023,-0.09195,-0.26236
-20.459,-0.00335,-0.01724,-0.08615,-0.25257
-19.885,-0.00319,-0.01654,-0.08485,-0.24972
-18.247,-0.00125,-0.01552,-0.08118,-0.23999
-17.986,-0.00093,-0.01574,-0.08058,-0.2383
-16.868,-0.0005,-0.02251,-0.07786,-0.23121
-16.837,-0.00052,-0.02246,-0.07779,-0.23103
-16.354,-0.00129,-0.02091,-0.07657,-0.2282
-14.336,-0.00647,-0.01196,-0.07128,-0.21847
-14.247,-0.00638,-0.0117,-0.07105,-0.2181
-14.008,-0.00583,-0.01131,-0.07041,-0.21711
-13.246,-0.00208,-0.01633,-0.06841,-0.21404
-12.587,0.00067,-0.01722,-0.06672,-0.21145
-12.393,0.00101,-0.01723,-0.06623,-0.21069
-10.391,-0.00249,-0.01557,-0.06187,-0.20283
-9.77,-0.00374,-0.01485,-0.06084,-0.20037
-9.538,-0.00406,-0.01458,-0.0605,-0.19945
-8.349,-0.00447,-0.01329,-0.05911,-0.19471
-6.682,-0.00328,-0.01212,-0.05756,-0.18798
-5.593,-0.00241,-0.01215,-0.05641,-0.18364
-5.295,-0.00221,-0.01222,-0.05604,-0.18248
-4.111,-0.00162,-0.01238,-0.05434,-0.17796
-3.326,-0.00133,-0.01211,-0.05304,-0.17507
-1.057,-0.00068,-0.0101,-0.04886,-0.16671
-0.265,-0.00045,-0.0094,-0.04771,-0.16361
0.592,-0.00017,-0.00884,-0.04766,-0.16004
0.598,-0.00017,-0.00884,-0.04766,-0.16002
1.207,3e-05,-0.00866,-0.04754,-0.15729
4.836,0.00042,-0.01019,-0.04551,-0.14207
5.066,0.00036,-0.01013,-0.04526,-0.14144
5.21,0.00031,-0.01007,-0.04508,-0.14106
5.358,0.00026,-0.00999,-0.04488,-0.1407
8.363,-0.00145,-0.00622,-0.03927,-0.13547
9.31,-0.00192,-0.0047,-0.03816,-0.13369
10.951,-0.00221,-0.00221,-0.0367,-0.12941
13.779,-0.00057,0.00067,-0.03447,-0.12055
13.784,-0.00057,0.00067,-0.03447,-0.12053
16.367,0.00139,0.00139,-0.03208,-0.11343
18.253,0.00167,0.00087,-0.03087,-0.10811
18.493,0.00165,0.00078,-0.0308,-0.10737
21.548,0.00141,0.00021,-0.0296,-0.09637
21.548,0.00141,0.00021,-0.0296,-0.09637
22.963,0.00179,0.00076,-0.02727,-0.09064
22.967,0.0018,0.00076,-0.02726,-0.09062
27.2,0.00374,0.00382,-0.01335,-0.07628
27.205,0.00374,0.00382,-0.01334,-0.07627
27.436,0.00382,0.00397,-0.01292,-0.07583
27.437,0.00382,0.00397,-0.01292,-0.07583
31.915,0.00385,0.00506,-0.01392,-0.07028
32.146,0.00383,0.00503,-0.01402,-0.06985
32.146,0.00383,0.00503,-0.01402,-0.06985
32.382,0.00381,0.00498,-0.0141,-0.06938
36.389,0.00439,0.00458,-0.01255,-0.05951
37.327,0.00489,0.00504,-0.012,-0.05797
37.562,0.00504,0.00522,-0.01188,-0.05767
38.034,0.0054,0.00565,-0.01169,-0.05713
40.863,0.00796,0.00853,-0.01173,-0.05471
42.272,0.00863,0.00864,-0.01179,-0.05317
42.508,0.00864,0.0085,-0.01175,-0.05288
42.744,0.00863,0.00831,-0.01168,-0.05258
45.572,0.00644,0.0047,-0.00961,-0.04872
47.453,0.00388,0.00377,-0.0082,-0.04618
47.689,0.00354,0.00388,-0.00808,-0.04586
47.69,0.00354,0.00388,-0.00808,-0.04586
50.518,4e-05,0.00859,-0.00758,-0.04153
52.693,-0.00086,0.01211,-0.00792,-0.03707
53.342,-0.0006,0.01132,-0.00806,-0.03554
54.756,0.00115,0.00498,-0.00835,-0.03196
54.901,0.00144,0.0048,-0.00838,-0.03158
56.608,0.00671,0.01406,-0.00855,-0.02705
58.759,0.02005,0.01024,-0.00815,-0.02119
58.963,0.02184,0.00944,-0.00806,-0.02063
